tx_id,account_id,amount,currency,tx_date
TX-0001,CTA-1001,125.50,USD,2024-03-15
TX-0002,CTA-2002,980.00,usd ,2024/03/16
TX-0003,CTA-3003,42.75,Usd,17-03-2024
TX-0004,CTA-4004,1500.25, eur ,2024-03-18
TX-0005,CTA-1001,67.10,EUR,2024/03/19
TX-0006,CTA-2002,230.00,USD,19-03-2024
TX-0007,CTA-3003,12.99,usd,2024-03-20
TX-0008,CTA-4004,450.80,GBP,2024/03/21
TX-0009,CTA-1001,75.00,USD,21-03-2024
TX-0010,CTA-2002,610.45,EUR,2024-03-22
TX-0011,CTA-3003,89.30,USD,2024/03/23
TX-0012,CTA-4004,1200.00,GBP,23-03-2024
TX-0013,CTA-1001,15.25,USD,2024-03-24
TX-0014,CTA-2002,325.90,EUR,2024/03/25
TX-0015,CTA-3003,205.00,USD,25-03-2024
TX-0016,,88.40,USD,2024-03-26
TX-0017,,510.00,EUR,2024/03/27
TX-0018,,29.95,usd,27-03-2024
TX-0019,CTA-4004,N/A,USD,2024-03-28
TX-0020,CTA-1001,,USD,2024/03/29
TX-0021,CTA-2002,"$1,200.50",USD,29-03-2024
TX-0022,CTA-3003,$850.00,EUR,2024-03-30
TX-0023,CTA-4004,unknown,usd ,2024/03/31
TX-0024,CTA-1001,74.20,USD,31-02-2024
TX-0025,CTA-2002,310.00,EUR,
TX-0026,CTA-3003,560.75, Usd ,2024-04-01
TX-0027,CTA-4004,18.60,eur,01-04-2024
TX-0028,CTA-1001,999.99,USD,2024/04/02
TX-0029,CTA-2002,45.00,GBP,02-04-2024
TX-0030,CTA-4004,780.35,USD,2024-04-03
